ha	UH	ha
where	WRB	where
's	POS	's
Nomi	NP	nomi
?	SENT	?
ay	JJ	ay
!	SENT	!
I	PP	i
'm	VBP	be
hiding	VVG	hide
.	SENT	.
go	VV	go
dirty	JJ	dirty
feet	NNS	foot
up	VV	up
?	SENT	?
get	VV	get
.	SENT	.
get	VV	get
.	SENT	.
get	VV	get
.	SENT	.
get	VV	get
.	SENT	.
get	VV	get
.	SENT	.
attacking	VVG	attack
Mommy	NP	mommy
.	SENT	.
niaw	NN	niaw
foot	NN	foot
out	IN	out
.	SENT	.
niaw	NN	niaw
foot	NN	foot
out	IN	out
.	SENT	.
aw	UH	aw
foot	NN	foot
out	IN	out
.	SENT	.
dirty	JJ	dirty
foot	NN	foot
up	IN	up
.	SENT	.
dirty	JJ	dirty
feet	NNS	foot
.	SENT	.
Georgie	NP	georgie
sleeping	VVG	sleep
.	SENT	.
see	VV	see
?	SENT	?
see	VV	see
?	SENT	?
doggie	JJ	doggie
sleeping	NN	sleep
.	SENT	.
go	VV	go
.	SENT	.
go	VV	go
under	IN	under
there	RB	there
.	SENT	.
uh	UH	uh
go	VV	go
under	IN	under
there	RB	there
.	SENT	.
there	EX	there
Georgie	NP	georgie
sleeping	VVG	sleep
.	SENT	.
see	VV	see
?	SENT	?
go	VV	go
sleep	NN	sleep
.	SENT	.
ands	NNS	<unknown>
going	VVG	go
asleep	RB	asleep
.	SENT	.
no	DT	no
.	SENT	.
uh	UH	uh
.	SENT	.
and	CC	and
.	SENT	.
look	VV	look
.	SENT	.
I	PP	i
sleeping	VVG	sleep
.	SENT	.
look	VV	look
.	SENT	.
see	VV	see
?	SENT	?
George	NP	george
sleeping	VVG	sleep
?	SENT	?
see	VV	see
Georgie	NP	georgie
sleeping	VVG	sleep
?	SENT	?
you	PP	you
.	SENT	.
see	VV	see
Georgie	NP	georgie
sleeping	VVG	sleep
?	SENT	?
see	VV	see
Georgie	NP	georgie
Georgie	NP	georgie
sleeping	VVG	sleep
?	SENT	?
see	VV	see
Georgie	NP	georgie
.	SENT	.
Georgie	NP	georgie
sleeping	VVG	sleep
?	SENT	?
hey	UH	hey
.	SENT	.
can	MD	can
kiss	VV	kiss
Mommy	NP	mommy
?	SENT	?
can	MD	can
kiss	VV	kiss
Georgie	NP	georgie
.	SENT	.
and	CC	and
then	RB	then
Mommy	NP	mommy
?	SENT	?
kiss	NN	kiss
Mommy	NP	mommy
.	SENT	.
and	CC	and
.	SENT	.
who	WP	who
that	IN	that
?	SENT	?
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
that	IN	that
Daddy	NP	daddy
home	NN	home
?	SENT	?
hi	VV	hi
Daddy	NP	daddy
.	SENT	.
I	PP	i
'm	VBP	be
draw	VV	draw
e	NN	e
.	SENT	.
I	PP	i
'm	VBP	be
draw	VV	draw
e	NN	e
.	SENT	.
e	NN	e
f	NN	f
.	SENT	.
e	NN	e
f	NN	f
.	SENT	.
e	NN	e
f	NN	f
.	SENT	.
e	NN	e
.	SENT	.
e	NN	e
.	SENT	.
e	NN	e
.	SENT	.
draw	VV	draw
e	NN	e
f	NN	f
.	SENT	.
kitty	NN	kitty
.	SENT	.
e	NN	e
f	NN	f
.	SENT	.
e	NN	e
f	NN	f
.	SENT	.
f	NN	f
.	SENT	.
e	NN	e
.	SENT	.
e	NN	e
f	NN	f
,	,	,
e	NN	e
.	SENT	.
e	NN	e
f	NN	f
.	SENT	.
there	RB	there
.	SENT	.
there	EX	there
something	NN	something
.	SENT	.
draw	VV	draw
e	NN	e
.	SENT	.
draw	VV	draw
e	NN	e
.	SENT	.
draw	VV	draw
e	NN	e
f	NN	f
.	SENT	.
uh	UH	uh
look	VV	look
.	SENT	.
uh	UH	uh
look	VV	look
a	DT	a
lamb	NN	lamb
.	SENT	.
uhs	NNS	<unknown>
lamb	NN	lamb
doing	VVG	do
?	SENT	?
looking	VVG	look
donkey	NN	donkey
?	SENT	?
kitty	NN	kitty
.	SENT	.
kitty	NN	kitty
.	SENT	.
uhs	NNS	<unknown>
kitty	NN	kitty
doing	VVG	do
?	SENT	?
uhs	NNS	<unknown>
kitty	NN	kitty
doing	VVG	do
?	SENT	?
post	NN	post
?	SENT	?
kitty	NN	kitty
.	SENT	.
kitty	NN	kitty
.	SENT	.
uh	UH	uh
draw	VV	draw
this	DT	this
?	SENT	?
uh	UH	uh
draw	VV	draw
the	DT	the
kitty	NN	kitty
.	SENT	.
uh	UH	uh
draw	VV	draw
the	DT	the
kitty	NN	kitty
.	SENT	.
uh	UH	uh
draw	VV	draw
the	DT	the
kitty	NN	kitty
.	SENT	.
uh	UH	uh
draw	VV	draw
the	DT	the
kitty	NN	kitty
.	SENT	.
post	NN	post
.	SENT	.
Kitty	NP	kitty
's	POS	's
.	SENT	.
Kitty	NP	kitty
's	POS	's
post	NN	post
.	SENT	.
coloring	NN	coloring
my	PP$	my
blue	JJ	blue
.	SENT	.
blue	JJ	blue
.	SENT	.
blue	JJ	blue
.	SENT	.
it	PP	it
's	VVZ	's
blue	JJ	blue
?	SENT	?
blue	JJ	blue
.	SENT	.
uh	UH	uh
color	NN	color
that	IN	that
blue	NN	blue
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
uh	UH	uh
rock	NN	rock
.	SENT	.
can	MD	can
draw	VV	draw
them	PP	them
?	SENT	?
is	VBZ	be
rock	NN	rock
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
donkey	NN	donkey
doing	VVG	do
?	SENT	?
what	WP	what
's	VVZ	's
donkey	NN	donkey
doing	VVG	do
?	SENT	?
happy	JJ	happy
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
cloud	NN	cloud
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
I	PP	i
draw	VVP	draw
it	PP	it
.	SENT	.
I	PP	i
drawed	VVD	<unknown>
it	PP	it
.	SENT	.
I	PP	i
drawed	VVD	<unknown>
it	PP	it
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
rock	NN	rock
.	SENT	.
stone	NN	stone
wall	NN	wall
?	SENT	?
a	DT	a
wall	NN	wall
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
cart	NN	cart
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
donkey	NN	donkey
doing	VVG	do
?	SENT	?
pull	VV	pull
cart	NN	cart
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
donkey	NN	donkey
?	SENT	?
hee	NN	hee
haw	NN	haw
.	SENT	.
what	WP	what
does	VVZ	do
donkey	NN	donkey
say	VVP	say
?	SENT	?
uh	UH	uh
man	NN	man
do	VVP	do
?	SENT	?
uh	UH	uh
man	NN	man
do	VVP	do
?	SENT	?
slow	JJ	slow
down	RB	down
?	SENT	?
uh	UH	uh
draw	VV	draw
man	NN	man
's	POS	's
eyes	NNS	eye
?	SENT	?
I	PP	i
draw	VVP	draw
man	NN	man
eyes	NNS	eye
.	SENT	.
gon	VVG	gon
na	TO	na
donkey	NN	donkey
's	POS	's
eyes	NNS	eye
?	SENT	?
gon	VVG	gon
na	TO	na
draw	VV	draw
donkey	NN	donkey
's	POS	's
eyes	NNS	eye
.	SENT	.
I	PP	i
'm	VBP	be
drawing	VVG	draw
donkey	NN	donkey
's	POS	's
eyes	NNS	eye
.	SENT	.
uh	UH	uh
donkey	NN	donkey
's	POS	's
mouth	NN	mouth
.	SENT	.
I	PP	i
'm	VBP	be
drawing	VVG	draw
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
can	MD	can
draw	VV	draw
this	DT	this
flower	NN	flower
?	SENT	?
uh	UH	uh
draw	VV	draw
flower	NN	flower
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
cart	NN	cart
?	SENT	?
can	MD	can
I	PP	i
draw	VV	draw
the	DT	the
cart	NN	cart
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
uh	UH	uh
on	IN	on
donkey	NN	donkey
?	SENT	?
what	WP	what
's	VVZ	's
donkey	NN	donkey
doing	VVG	do
?	SENT	?
I	PP	i
color	VVP	color
my	PP$	my
mouth	NN	mouth
.	SENT	.
I	PP	i
color	VVP	color
my	PP$	my
mouth	NN	mouth
.	SENT	.
nothing	NN	nothing
.	SENT	.
nothing	NN	nothing
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
uh	UH	uh
draw	VV	draw
it	PP	it
?	SENT	?
what	WP	what
that	IN	that
?	SENT	?
chicks	NNS	chick
?	SENT	?
gon	VVG	gon
na	TO	na
do	VV	do
it	PP	it
.	SENT	.
gon	VVG	gon
na	TO	na
do	VV	do
it	PP	it
.	SENT	.
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
girl	NN	girl
have	VHP	have
sweater	NN	sweater
on	IN	on
.	SENT	.
girl	NN	girl
have	VHP	have
sweater	NN	sweater
on	IN	on
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
what	WP	what
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
clown	NN	clown
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
he	PP	he
green	JJ	green
?	SENT	?
he	PP	he
green	JJ	green
clown	NN	clown
.	SENT	.
go	VV	go
get	VV	get
a	DT	a
hat	NN	hat
on	IN	on
.	SENT	.
I	PP	i
lying	VVG	lie
down	RB	down
.	SENT	.
I	PP	i
lying	VVG	lie
down	RB	down
.	SENT	.
I	PP	i
lying	VVG	lie
down	RB	down
.	SENT	.
kitty	NN	kitty
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
.	SENT	.
uh	UH	uh
kitty	NN	kitty
doing	VVG	do
?	SENT	?
uh	UH	uh
kitty	NN	kitty
doing	VVG	do
?	SENT	?
kitty	NN	kitty
's	POS	's
lying	VVG	lie
down	JJ	down
chair	NN	chair
?	SENT	?
is	VBZ	be
lying	VVG	lie
down	JJ	down
chair	NN	chair
?	SENT	?
uh	UH	uh
kitty	NN	kitty
.	SENT	.
kitty	NN	kitty
's	POS	's
lying	VVG	lie
down	RB	down
.	SENT	.
kitty	NN	kitty
's	POS	's
.	SENT	.
kitty	NN	kitty
's	POS	's
stand	NN	stand
up	IN	up
.	SENT	.
jump	NN	jump
it	PP	it
.	SENT	.
kitty	NN	kitty
's	POS	's
up	IN	up
.	SENT	.
he	PP	he
fall	VVP	fall
down	RB	down
.	SENT	.
okay	JJ	okay
sit	VV	sit
there	RB	there
.	SENT	.
okay	JJ	okay
sit	VV	sit
there	RB	there
.	SENT	.
kitty	NN	kitty
's	POS	's
lying	VVG	lie
down	RB	down
.	SENT	.
ho	UH	ho
lie	VV	lie
down	RB	down
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
?	SENT	?
skunk	NN	skunk
?	SENT	?
what	WP	what
's	VVZ	's
this	DT	this
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
skunk	NN	skunk
's	POS	's
eyes	NNS	eye
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
skunk	NN	skunk
's	POS	's
cheek	NN	cheek
?	SENT	?
uh	UH	uh
draw	VV	draw
this	DT	this
.	SENT	.
draw	NN	draw
this	DT	this
.	SENT	.
draw	NN	draw
this	DT	this
.	SENT	.
uh	UH	uh
draw	VV	draw
it	PP	it
cloud	VV	cloud
.	SENT	.
you	PP	you
draw	VVP	draw
cloud	NN	cloud
.	SENT	.
draw	VV	draw
cloud	NN	cloud
.	SENT	.
I	PP	i
'm	VBP	be
drawing	VVG	draw
cloud	NN	cloud
?	SENT	?
see	VV	see
cloud	NN	cloud
.	SENT	.
there	RB	there
.	SENT	.
tail	NN	tail
.	SENT	.
tail	NN	tail
.	SENT	.
skunk	NN	skunk
tails	NNS	tail
.	SENT	.
uhs	NNS	<unknown>
that	IN	that
?	SENT	?
uhs	NNS	<unknown>
that	IN	that
?	SENT	?
skunk	NN	skunk
's	POS	's
tail	NN	tail
.	SENT	.
skunk	NN	skunk
's	POS	's
tired	VVN	tire
.	SENT	.
skunk	NN	skunk
's	POS	's
tired	VVN	tire
.	SENT	.
skunk	NN	skunk
's	POS	's
tired	VVN	tire
.	SENT	.
uh	UH	uh
go	VV	go
lie	NN	lie
down	RB	down
.	SENT	.
uh	UH	uh
go	VV	go
lie	NN	lie
down	RB	down
.	SENT	.
uh	UH	uh
go	VV	go
.	SENT	.
uh	UH	uh
skunk	NN	skunk
go	NN	go
?	SENT	?
skunk	NN	skunk
.	SENT	.
get	VV	get
up	VV	up
.	SENT	.
get	VV	get
.	SENT	.
here	RB	here
.	SENT	.
skunk	NN	skunk
get	VV	get
up	IN	up
.	SENT	.
I	PP	i
'm	VBP	be
lying	VVG	lie
down	RB	down
.	SENT	.
I	PP	i
'm	VBP	be
lying	VVG	lie
down	RB	down
.	SENT	.
uh	UH	uh
Nomi	NP	nomi
fell	VVD	fall
down	RB	down
?	SENT	?
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
uh	UH	uh
pensey	NN	pensey
.	SENT	.
uh	UH	uh
pensey	NN	pensey
.	SENT	.
uh	UH	uh
pensey	NN	pensey
.	SENT	.
uh	UH	uh
want	VVP	want
that	IN	that
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
skunk	NN	skunk
.	SENT	.
kitty	NN	kitty
.	SENT	.
I	PP	i
fixing	VVG	fix
it	PP	it
.	SENT	.
eyes	NNS	eye
hurt	VVN	hurt
.	SENT	.
eyes	NNS	eye
hurt	VVN	hurt
.	SENT	.
birdies	NNS	birdie
eyes	NNS	eye
hurt	VVN	hurt
.	SENT	.
I	PP	i
hurt	VVD	hurt
my	PP$	my
foot	NN	foot
.	SENT	.
no	DT	no
.	SENT	.
I	PP	i
get	VVP	get
in	IN	in
my	PP$	my
bed	NN	bed
.	SENT	.
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
what	WP	what
's	VVZ	's
Nomi	NP	nomi
do	VVP	do
?	SENT	?
what	WP	what
's	VVZ	's
Nomi	NP	nomi
do	VVP	do
?	SENT	?
what	WP	what
's	VVZ	's
Nomi	NP	nomi
do	VVP	do
?	SENT	?
what	WP	what
's	VVZ	's
Nomi	NP	nomi
do	VVP	do
?	SENT	?
no	DT	no
.	SENT	.
I	PP	i
climbing	VVG	climb
up	IN	up
.	SENT	.
I	PP	i
'm	VBP	be
banging	VVG	bang
.	SENT	.
yes	UH	yes
.	SENT	.
rocking	NN	rock
.	SENT	.
I	PP	i
holding	VVG	hold
Sandy	NP	sandy
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
put	VV	put
Sandy	NP	sandy
down	RB	down
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
put	VV	put
Sandy	NP	sandy
down	RB	down
.	SENT	.
Sandy	NP	sandy
down	RB	down
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
put	VV	put
Sandy	NP	sandy
down	JJ	down
nap	NN	nap
.	SENT	.
going	VVG	go
put	VV	put
over	IN	over
Sam	NP	sam
.	SENT	.
right	NN	right
there	RB	there
.	SENT	.
Sandy	NP	sandy
.	SENT	.
going	VVG	go
put	VV	put
blanket	NN	blanket
over	IN	over
Sandy	NP	sandy
.	SENT	.
blanket	NN	blanket
over	IN	over
.	SENT	.
Sandy	NP	sandy
.	SENT	.
Sandy	NP	sandy
.	SENT	.
what	WP	what
that	WDT	that
?	SENT	?
lie	VV	lie
down	RB	down
.	SENT	.
me	PP	me
tired	VVD	tire
.	SENT	.
me	PP	me
tired	VVD	tire
.	SENT	.
me	PP	me
tired	VVD	tire
.	SENT	.
me	PP	me
lay	VVD	lie
.	SENT	.
me	PP	me
lay	VVD	lie
down	RB	down
?	SENT	?
I	PP	i
feel	VVP	feel
better	JJR	better
.	SENT	.
uh	UH	uh
.	SENT	.
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
uh	UH	uh
.	SENT	.
Krowder	NP	krowder
.	SENT	.
David	NP	david
.	SENT	.
David	NP	david
.	SENT	.
and	CC	and
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
Krowder	NP	krowder
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
Krowder	NP	krowder
?	SENT	?
I	PP	i
rocking	NN	rock
.	SENT	.
I	PP	i
stand	VVP	stand
up	IN	up
.	SENT	.
go	NN	go
again	RB	again
?	SENT	?
go	VV	go
again	RB	again
.	SENT	.
go	VV	go
.	SENT	.
me	PP	me
dresses	VVZ	dress
?	SENT	?
what	WP	what
in	IN	in
there	RB	there
?	SENT	?
what	WP	what
in	IN	in
there	RB	there
?	SENT	?
is	VBZ	be
in	IN	in
there	RB	there
?	SENT	?
dress	NN	dress
.	SENT	.
me	PP	me
toy	NN	toy
?	SENT	?
what	WP	what
's	VVZ	's
toy	NN	toy
.	SENT	.
what	WP	what
's	VVZ	's
toy	NN	toy
doing	VVG	do
?	SENT	?
play	VV	play
?	SENT	?
waiting	VVG	wait
me	PP	me
?	SENT	?
uh	UH	uh
play	VV	play
Nomi	NP	nomi
?	SENT	?
uh	UH	uh
play	VV	play
.	SENT	.
uh	UH	uh
play	VV	play
Nomi	NP	nomi
?	SENT	?
uh	UH	uh
play	VV	play
Nomi	NP	nomi
?	SENT	?
uh	UH	uh
play	VV	play
this	DT	this
.	SENT	.
wanna	VV	wanna
play	NN	play
.	SENT	.
playing	VVG	play
toys	NNS	toy
.	SENT	.
play	VV	play
toys	NNS	toy
.	SENT	.
playing	VVG	play
powka	NN	powka
.	SENT	.
I	PP	i
putting	VVG	putt
my	PP$	my
powder	NN	powder
on	IN	on
.	SENT	.
putting	VVG	putt
my	PP$	my
powder	NN	powder
on	IN	on
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
lipstick	NN	lipstick
off	IN	off
.	SENT	.
uh	UH	uh
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
there	EX	there
lipstick	NN	lipstick
.	SENT	.
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
awoh	NN	awoh
.	SENT	.
I	PP	i
drop	VVP	drop
it	PP	it
.	SENT	.
uh	UH	uh
.	SENT	.
can	MD	can
get	VV	get
it	PP	it
?	SENT	?
there	EX	there
it	PP	it
.	SENT	.
there	EX	there
it	PP	it
.	SENT	.
where	WRB	where
's	POS	's
powka	NN	powka
?	SENT	?
where	WRB	where
's	POS	's
powka	NN	powka
?	SENT	?
right	NN	right
.	SENT	.
behind	IN	behind
Georgie	NP	georgie
?	SENT	?
behind	IN	behind
Georgie	NP	georgie
?	SENT	?
there	RB	there
.	SENT	.
under	IN	under
there	RB	there
.	SENT	.
under	IN	under
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
lipstick	NN	lipstick
.	SENT	.
lipstick	NN	lipstick
under	IN	under
there	RB	there
.	SENT	.
there	RB	there
.	SENT	.
stick	VV	stick
.	SENT	.
there	RB	there
.	SENT	.
stick	VV	stick
.	SENT	.
uh	UH	uh
kipstick	NN	kipstick
.	SENT	.
there	RB	there
.	SENT	.
fish	NN	fish
.	SENT	.
fish	NN	fish
.	SENT	.
fish	NN	fish
.	SENT	.
uh	UH	uh
fish	NN	fish
doing	VVG	do
?	SENT	?
swimming	VVG	swim
?	SENT	?
fish	NN	fish
.	SENT	.
fish	NN	fish
swimming	VVG	swim
?	SENT	?
fish	NN	fish
.	SENT	.
what	WP	what
's	VVZ	's
fish	NN	fish
doing	VVG	do
?	SENT	?
swish	JJ	swish
?	SENT	?
swish	JJ	swish
swish	JJ	swish
fish	NN	fish
?	SENT	?
what	WP	what
's	VVZ	's
this	DT	this
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
swish	JJ	swish
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
uh	UH	uh
tail	NN	tail
?	SENT	?
tail	NN	tail
?	SENT	?
me	PP	me
pace	VVP	pace
.	SENT	.
pace	NN	pace
.	SENT	.
pace	NN	pace
.	SENT	.
I	PP	i
'm	VBP	be
putting	VVG	putt
it	PP	it
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
Coco	NP	coco
's	POS	's
hat	NN	hat
?	SENT	?
uh	UH	uh
Cokey	NP	cokey
doing	VVG	do
?	SENT	?
Coco	NP	coco
doing	VVG	do
?	SENT	?
no	DT	no
.	SENT	.
stick	NN	stick
.	SENT	.
on	IN	on
Coco	NP	coco
.	SENT	.
Coco	NP	coco
.	SENT	.
no	DT	no
.	SENT	.
I	PP	i
do	VVP	do
it	PP	it
.	SENT	.
going	VVG	go
put	VV	put
in	IN	in
garbage	NN	garbage
.	SENT	.
in	IN	in
garbage	NN	garbage
.	SENT	.
okay	JJ	okay
.	SENT	.
uh	UH	uh
jump	NN	jump
.	SENT	.
Sandy	NP	sandy
.	SENT	.
where	WRB	where
Sandy	NP	sandy
?	SENT	?
make	VV	make
kiss	NN	kiss
Coco	NP	coco
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
I	PP	i
fooing	VVG	<unknown>
.	SENT	.
foo	VV	foo
my	PP$	my
chair	NN	chair
.	SENT	.
fooing	VVG	<unknown>
my	PP$	my
chair	NN	chair
.	SENT	.
what	WP	what
's	VVZ	's
Nomi	NP	nomi
doing	VVG	do
?	SENT	?
fooing	VVG	<unknown>
Mommy	NP	mommy
?	SENT	?
you	PP	you
foo	VVP	foo
doggie	JJ	doggie
.	SENT	.
you	PP	you
foo	VVP	foo
doggie	JJ	doggie
.	SENT	.
yes	UH	yes
.	SENT	.
yes	UH	yes
.	SENT	.
make	VV	make
foo	NN	foo
Jenko	NP	jenko
.	SENT	.
foo	VV	foo
foo	NN	foo
Jenko	NP	jenko
.	SENT	.
kitty	NN	kitty
.	SENT	.
kitty	NN	kitty
.	SENT	.
uh	UH	uh
get	VV	get
up	IN	up
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
get	VV	get
up	IN	up
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
get	VV	get
Jenkie	NP	jenkie
.	SENT	.
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
a	DT	a
dog	NN	dog
?	SENT	?
I	PP	i
'm	VBP	be
going	VVG	go
push	VV	push
over	IN	over
.	SENT	.
uh	UH	uh
foo	VV	foo
Ann	NP	ann
.	SENT	.
stay	VV	stay
there	RB	there
.	SENT	.
going	VVG	go
drink	NN	drink
it	PP	it
?	SENT	?
uh	UH	uh
pack	NN	pack
.	SENT	.
uh	UH	uh
passy	JJ	passy
.	SENT	.
iron	NN	iron
.	SENT	.
a	DT	a
tacky	JJ	tacky
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
?	SENT	?
no	DT	no
.	SENT	.
I	PP	i
go	VVP	go
eat	VV	eat
it	PP	it
.	SENT	.
can	MD	can
I	PP	i
eat	VV	eat
it	PP	it
?	SENT	?
uh	UH	uh
a	DT	a
passy	NN	passy
?	SENT	?
a	DT	a
passy	NN	passy
?	SENT	?
telephone	NN	telephone
?	SENT	?
I	PP	i
want	VVP	want
it	PP	it
.	SENT	.
eh	UH	eh
Jenko	NP	jenko
eat	VV	eat
it	PP	it
.	SENT	.
Jenko	NP	jenko
eat	VV	eat
it	PP	it
.	SENT	.
Jenko	NP	jenko
go	VV	go
in	IN	in
there	RB	there
?	SENT	?
Jenko	NP	jenko
.	SENT	.
Jenko	NP	jenko
.	SENT	.
Jenko	NP	jenko
finish	VV	finish
.	SENT	.
in	IN	in
.	SENT	.
in	IN	in
garbage	NN	garbage
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
no	DT	no
.	SENT	.
uhs	NNS	<unknown>
there	RB	there
.	SENT	.
what	WP	what
?	SENT	?
what	WP	what
that	IN	that
?	SENT	?
it	PP	it
's	VVZ	's
hurting	VVG	hurt
my	PP$	my
eyes	NNS	eye
.	SENT	.
do	VVP	do
n't	RB	not
.	SENT	.
okay	JJ	okay
.	SENT	.
no	DT	no
.	SENT	.
I	PP	i
want	VVP	want
it	PP	it
.	SENT	.
can	MD	can
stand	VV	stand
on	IN	on
it	PP	it
?	SENT	?
uh	UH	uh
get	VV	get
up	IN	up
.	SENT	.
uh	UH	uh
get	VV	get
up	IN	up
.	SENT	.
I	PP	i
can	MD	can
n't	RB	not
get	VV	get
up	IN	up
.	SENT	.
I	PP	i
can	MD	can
n't	RB	not
.	SENT	.
I	PP	i
get	VVP	get
it	PP	it
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
.	SENT	.
I	PP	i
want	VVP	want
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
.	SENT	.
uh	UH	uh
go	VV	go
?	SENT	?
go	VV	go
?	SENT	?
uh	UH	uh
go	VV	go
?	SENT	?
uh	UH	uh
go	VV	go
?	SENT	?
uh	UH	uh
.	SENT	.
uh	UH	uh
go	VV	go
.	SENT	.
boom	NN	boom
.	SENT	.
uh	UH	uh
swinging	VVG	swing
?	SENT	?
I	PP	i
want	VVP	want
it	PP	it
.	SENT	.
Jenko	NP	jenko
eat	VV	eat
it	PP	it
.	SENT	.
where	WRB	where
's	POS	's
bunny	NN	bunny
?	SENT	?
where	WRB	where
's	POS	's
bunny	NN	bunny
?	SENT	?
little	JJ	little
blue	JJ	blue
thing	NN	thing
.	SENT	.
uh	UH	uh
getting	VVG	get
up	IN	up
.	SENT	.
I	PP	i
get	VVP	get
up	IN	up
.	SENT	.
uh	UH	uh
going	VVG	go
up	IN	up
.	SENT	.
uh	UH	uh
get	VV	get
up	IN	up
.	SENT	.
I	PP	i
wanna	VVP	wanna
get	VV	get
up	IN	up
.	SENT	.
up	IN	up
.	SENT	.
uh	UH	uh
fluffy	JJ	fluffy
.	SENT	.
I	PP	i
see	VVP	see
Agra	NP	agra
.	SENT	.
Agra	NP	agra
.	SENT	.
poor	JJ	poor
.	SENT	.
poor	NP	poor
Agra	NP	agra
.	SENT	.
poor	NP	poor
Agra	NP	agra
.	SENT	.
where	WRB	where
's	POS	's
doggie	JJ	doggie
?	SENT	?
where	WRB	where
's	POS	's
doggie	JJ	doggie
?	SENT	?
doggies	NNS	<unknown>
.	SENT	.
dog	NN	dog
.	SENT	.
doggie	JJ	doggie
fall	NN	fall
down	RB	down
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
doggie	JJ	doggie
